Year,Player,GP,PPG,PTS,FGA,FG%,rFG%
2007,Emeka Okafor,67,10.2,684,593,57.7,2.9
2019,Hassan Whiteside,72,10.2,736,608,60.5,5
2013,Al Horford,74,10.2,752,603,62.4,8.7
2009,Tim Duncan,75,10.2,768,692,55.5,1.1
2013,Josh Smith,76,10.2,774,647,59.8,6.1
2001,Tracy McGrady,77,10.2,786,750,52.4,0.4
2005,Yao Ming,80,10.2,818,672,60.9,7.8
2003,Gary Payton,80,10.2,812,742,54.7,2.2
1997,Shareef Abdur-Rahim,80,10.2,814,804,50.6,-1.4
2017,DeAndre Jordan,81,10.2,824,573,71.9,16.7
2000,Gary Payton,82,10.2,838,727,57.6,4.7
2014,Al Horford,29,10.1,292,226,64.6,10.6
1999,Keith Van Horn,42,10.1,424,430,49.3,-2.6
2005,Jermaine O'Neal,44,10.1,446,438,50.9,-2.2
1999,Alonzo Mourning,46,10.1,464,399,58.1,6.3
2021,Kawhi Leonard,52,10.1,524,426,61.5,5.4
2012,Kevin Love,55,10.1,554,529,52.4,-1.1
2021,Zach LaVine,58,10.1,584,477,61.2,5.1
2020,Zach LaVine,60,10.1,606,563,53.8,-1.8
2017,Derrick Rose,64,10.1,644,633,50.9,-4.3
2013,Tony Parker,66,10.1,664,582,57,3.3
2012,Russell Westbrook,66,10.1,668,630,53,-0.4
2003,Chris Webber,67,10.1,680,652,52.1,-0.4
2022,Dejounte Murray,68,10.1,686,630,54.4,-2.2
2021,Montrezl Harrell,69,10.1,696,526,66.2,10
2022,Evan Mobley,69,10.1,696,603,57.7,1.1
2017,Dwight Howard,74,10.1,748,558,67,11.9
2022,Jayson Tatum,76,10.1,764,656,58.2,1.6
2002,Tracy McGrady,76,10.1,766,691,55.4,2.8
2019,Donovan Mitchell,77,10.1,778,801,48.6,-7
2013,Al Jefferson,78,10.1,786,677,58.1,4.3
2017,Rudy Gobert,81,10.1,822,619,66.4,11.2
2017,Russell Westbrook,81,10.1,816,763,53.5,-1.7
2002,Antawn Jamison,82,10.1,830,776,53.5,0.8
2005,Ndudi Ebi,2,10.0,20,14,71.4,18.3
2019,JaKarr Sampson,4,10.0,40,34,58.8,3.3
2019,Walt Lemon Jr.,6,10.0,60,64,46.9,-8.7
2020,Marvin Bagley III,13,10.0,130,124,52.4,-3.2
2016,Blake Griffin,35,10.0,350,270,64.8,10.8
2008,Dwyane Wade,51,10.0,512,431,59.4,4.9
2019,Brandon Ingram,52,10.0,522,451,57.9,2.3
2012,LaMarcus Aldridge,55,10.0,550,438,62.8,9.4
2017,Kevin Durant,62,10.0,622,454,68.5,13.3
2018,Joel Embiid,63,10.0,630,549,57.4,2.1
2019,Devin Booker,64,10.0,640,549,58.3,2.7
2017,Nikola Jokic,73,10.0,730,553,66,10.8
2016,Hassan Whiteside,73,10.0,728,563,64.7,10.7
2015,Enes Freedom,75,10.0,748,627,59.6,6.1
2007,Desmond Mason,75,10.0,752,780,48.2,-6.5
2015,Tyreke Evans,79,10.0,788,788,50,-3.5
2018,Jrue Holiday,81,10.0,812,698,58.2,2.8
2008,Josh Smith,81,10.0,806,731,55.1,0.7
2011,Derrick Rose,81,10.0,806,765,52.7,-1.8
2001,Antoine Walker,81,10.0,806,867,46.5,-5.5
2019,Bradley Beal,82,10.0,816,667,61.2,5.6
2008,Emeka Okafor,82,10.0,822,708,58.1,3.6
1999,Antoine Walker,42,9.9,416,438,47.5,-4.4
2005,Zach Randolph,46,9.9,456,465,49,-4.1
2005,Carlos Boozer,51,9.9,506,429,59,5.9
2006,Gerald Wallace,55,9.9,542,447,60.6,6.8
2019,Kawhi Leonard,60,9.9,592,496,59.7,4.1
2014,Pau Gasol,60,9.9,596,552,54,-0.1
2017,Blake Griffin,61,9.9,606,533,56.8,1.7
2009,Andris Biedrins,62,9.9,614,527,58.3,3.8
2021,Jayson Tatum,64,9.9,634,571,55.5,-0.6
2022,Jaylen Brown,66,9.9,652,571,57.1,0.5
2020,T.J. Warren,67,9.9,664,513,64.7,9.1
2001,Antonio McDyess,70,9.9,694,554,62.6,10.6
2022,Clint Capela,74,9.9,736,599,61.4,4.8
2013,DeMarcus Cousins,75,9.9,742,684,54.2,0.5
2022,DeMar DeRozan,76,9.9,752,652,57.7,1
2017,John Wall,78,9.9,774,721,53.7,-1.5
2007,Elton Brand,80,9.9,792,656,60.4,5.6
2002,Kobe Bryant,80,9.9,790,679,58.2,5.5
2000,Antonio McDyess,81,9.9,798,668,59.7,6.8
2000,Shareef Abdur-Rahim,82,9.9,812,747,54.4,1.4
2020,Trae Young,60,9.8,586,572,51.2,-4.4
2012,Paul Millsap,64,9.8,628,523,60,6.6
2016,Kenneth Faried,67,9.8,656,562,58.4,4.4
2021,Devin Booker,67,9.8,656,570,57.5,1.4
2010,Marc Gasol,69,9.8,676,548,61.7,6.3
2015,Zach Randolph,71,9.8,694,639,54.3,0.8
2017,Enes Freedom,72,9.8,704,582,60.5,5.3
2017,Brook Lopez,75,9.8,732,650,56.3,1.1
2010,Chris Kaman,76,9.8,748,669,55.9,0.5
2009,Chris Paul,78,9.8,762,640,59.5,5.1
2010,Tim Duncan,78,9.8,768,658,58.4,3
2022,Russell Westbrook,78,9.8,764,741,51.6,-5.1
1998,Karl Malone,81,9.8,790,669,59,5.7
2009,Antawn Jamison,81,9.8,792,697,56.8,2.4
2016,Karl-Anthony Towns,82,9.8,800,655,61.1,7.1
1997,David Robinson,6,9.7,58,54,53.7,1.7
2012,Amar'e Stoudemire,47,9.7,456,403,56.6,3.1
2021,Caris LeVert,47,9.7,458,447,51.2,-4.9
2018,Rudy Gobert,56,9.7,542,429,63.2,7.8
2004,Dwyane Wade,61,9.7,590,550,53.6,1.6
2008,Tony Parker,69,9.7,668,582,57.4,2.9
2016,Dwyane Wade,74,9.7,718,674,53.3,-0.7
2011,Luis Scola,74,9.7,716,694,51.6,-2.9
2016,Marcin Gortat,75,9.7,730,605,60.3,6.3
2018,DeAndre Jordan,77,9.7,746,574,65,9.7
