Season,Team,Opponent eFG%,Opponent TS%
2008-09,MEM,51.5,56.0
2007-08,MEM,52.1,55.7
2006-07,MEM,52.9,56.9
2005-06,MEM,46.9,51.6
2004-05,MEM,46.6,52.1
2003-04,MEM,46.5,51.6
2002-03,MEM,49.1,52.9
2001-02,MEM,48.6,52.4
2021-22,MIA,52.4,56.2
2020-21,MIA,54.2,57.5
2019-20,MIA,52.3,56.2
2018-19,MIA,51.0,54.7
2017-18,MIA,50.7,54.8
2016-17,MIA,49.6,54.0
2015-16,MIA,48.5,52.5
2014-15,MIA,50.5,54.2
2013-14,MIA,51.1,54.9
2012-13,MIA,48.7,52.7
2011-12,MIA,47.9,51.7
2010-11,MIA,47.5,51.8
2009-10,MIA,48.0,52.7
2008-09,MIA,50.1,54.8
2007-08,MIA,51.0,55.4
2006-07,MIA,48.5,52.8
2005-06,MIA,47.7,52.4
2004-05,MIA,46.0,51.0
2003-04,MIA,46.3,51.6
2002-03,MIA,47.0,52.0
2001-02,MIA,45.5,50.4
2000-01,MIA,46.0,50.3
1999-00,MIA,45.3,50.0
1998-99,MIA,43.9,48.6
1997-98,MIA,45.2,50.4
1996-97,MIA,46.5,51.2
1995-96,MIA,46.9,52.6
1994-95,MIA,51.0,55.5
1993-94,MIA,47.9,53.2
1992-93,MIA,49.5,54.7
1991-92,MIA,50.8,55.0
1990-91,MIA,49.1,54.4
1989-90,MIA,49.9,55.1
1988-89,MIA,49.9,55.3
2021-22,MIL,53.6,56.4
2020-21,MIL,53.6,56.5
2019-20,MIL,48.9,52.5
2018-19,MIL,50.3,53.2
2017-18,MIL,52.8,56.8
2016-17,MIL,51.8,55.7
2015-16,MIL,51.0,55.1
2014-15,MIL,48.7,52.8
2013-14,MIL,52.0,55.9
2012-13,MIL,49.2,53.1
2011-12,MIL,48.9,53.2
2010-11,MIL,48.1,52.8
2009-10,MIL,48.6,53.7
2008-09,MIL,50.3,56.2
2007-08,MIL,52.4,56.8
2006-07,MIL,52.2,56.1
